# marker_id,x,y,z
14-1,33.525807348990824,-7.897131977617665,84.14462341691731
37-1,16.09189929922693,-11.499357156523407,90.22229236497591
14-0,31.129065333452075,-9.362439931616057,85.66205516674292
37-2,19.36660875463398,-9.675507200519217,88.18186927201037
33-3,3.257544491841876,-14.602081803686966,94.51111323821279
37-3,16.64840814583842,-6.943185593469825,86.39103533802984
33-2,5.883663121828488,-17.306073887857877,96.36487083661017
10-3,34.09216246729683,-64.65479374996897,104.75953453161321
33-1,2.7039227382323117,-19.119321098087887,98.28215842931846
10-2,37.477955710563506,-65.71547539661098,105.1925400205057
33-0,0.09242050042728413,-16.366996604739157,96.51159676517449
10-1,37.03585797650422,-68.04513737848525,102.4487081743578
10-0,33.6377734527227,-67.01695211145591,102.13690095788279
3-0,24.72235044306276,-74.68395915435212,90.61348752198828
3-1,28.127601829198372,-75.78864453669698,91.03300333813995
3-2,28.63905144708556,-73.26153558636737,93.57659602670188
3-3,25.2250322661603,-72.15406816928518,93.11564588862704
18-3,29.504804719372743,-7.369823379454327E-4,78.47209198393936
7-0,32.78472952687954,-71.75764543072582,96.71075174920007
18-2,31.934388430199665,1.4524218842008125,76.91837493790811
7-1,36.18427410043639,-72.9310913811001,97.09094217731045
18-1,34.04358649754248,-0.5712549208635418,78.22421699802565
7-2,36.64000206159903,-70.61374272440574,99.88009946555009
18-0,31.640419045047658,-2.0198746880317775,79.80786499716375
7-3,33.236654530087336,-69.51851374218595,99.51357884177726
14-3,29.009816070080912,-7.301562150095936,84.35433147475827
14-2,31.40530348123231,-5.836960354673141,82.82915137067482
37-0,13.432302778859093,-8.770354242139124,88.35125181063384
25-1,30.129186751608813,10.909746475286182,69.47164299324949
25-0,27.696235127942472,9.47417542089287,71.11717630044795
21-3,25.070142810175234,4.2020005002261565,75.71216736630558
21-2,27.47089637461384,5.669454469146553,74.120224661015
21-1,29.583709403021338,3.604329579961617,75.43359993515952
21-0,27.19936457091867,2.1524810623001733,77.02603677959267
29-3,-23.306431399591432,24.92513171296803,66.97328365261839
29-2,-25.457819802247236,22.211742843167162,69.3215580899187
29-1,-29.09532534820927,24.31144752144013,68.335995457287
29-0,-26.911175900130935,27.01907599609936,65.97234005177128
25-3,25.630781202876403,11.463453276796608,69.77283930674665
25-2,27.94677193121493,12.904404955960402,68.09291547978029
36-1,10.486991930736687,-5.811467945321377,86.46349363639602
13-2,38.34185711210133,-60.89587913522736,110.45445878588421
36-0,7.847266317797301,-3.1661403503371894,84.55971305321441
13-1,37.95316773897392,-63.16722231031511,107.90020641876573
32-3,-2.309323880204706,-8.997569557535801,90.71071094828324
13-0,34.52349554788445,-62.16562261856336,107.37721377832446
32-2,0.3937232268463756,-11.684708252141453,92.5066441155753
32-1,-2.7817994024776187,-13.488588321631411,94.44309656534786
32-0,-5.405910782457789,-10.786951051920688,92.65941925227996
2-0,17.66007081264864,-72.55923014476645,89.93590999793939
2-1,21.03944076454305,-73.50762535273944,90.2117365399523
2-2,21.535625971148182,-71.06718933639095,92.73470773638422
2-3,18.155715371892263,-70.11221956473078,92.39572526604336
6-0,25.74976127938907,-69.51864143522226,95.747788930708
6-1,29.10993428878349,-70.65806879954087,96.15524276983041
17-3,24.555213479319743,-3.037111749421333,81.63578979826282
6-2,29.52441362816255,-68.42296799401498,99.01602590788143
17-2,26.96036413267602,-1.6023661176021156,80.06966112224573
6-3,26.149301062876063,-67.26967144560477,98.49820957184683
17-1,29.075505121763854,-3.632660167613916,81.4110511926498
17-0,26.694735783187127,-5.1006236888246725,82.95230250294188
36-3,11.03022714776666,-1.320416784824474,82.56649697742242
36-2,13.73410498181535,-4.024458753365869,84.40062052335162
13-3,34.95668064403897,-59.99222514261459,110.19405704550465
24-2,23.007859966372944,9.812508727850279,71.3747495719457
24-1,25.140705063331282,7.877522180884283,72.78569906463963
24-0,22.788478436691193,6.36853077168147,74.29618785908359
20-3,20.15644271059132,1.0884637455125428,78.87530280502175
20-2,22.52204233078892,2.595706596457761,77.34764291511354
20-1,24.663228373229213,0.5627036680539417,78.68164031705174
20-0,22.281642722695537,-0.9180729089883096,80.24311522369116
28-3,-18.743876992011508,30.25719554513213,61.73002178249692
28-2,-20.83785073396547,27.640104722372218,64.184810768049
28-1,-24.48159105131351,29.752081532519664,63.235047615035
28-0,-22.315598212584042,32.42304661380034,60.830304126049185
24-3,20.65140311752087,8.380216701481581,72.96057687796949
35-2,12.643392630361928,-13.475067400254089,92.25637907643956
12-3,27.919471102496253,-58.044996043923646,109.51876555028107
35-1,9.373321303520916,-15.318633040517721,94.29038913620589
12-2,31.235721450170608,-59.03117539667294,109.89310121723412
35-0,6.718419318194717,-12.57915979676215,92.49684908947428
12-1,30.804931379442827,-61.25340447548078,107.05150123655208
31-3,-15.99708389802044,20.6291841909708,69.26650355891255
12-0,27.468887149475304,-60.227737396752175,106.67263305509435
31-2,-18.176721200563243,17.932934740428816,71.60880495137282
1-0,11.072060015763718,-28.022090186346407,104.51080750861584
31-1,-21.7507848075571,19.993332880329188,70.51761065270573
1-1,18.993858630093516,-35.81085162855543,109.76479533622344
31-0,-19.610311012941764,22.70557706477383,68.26645493314776
1-2,28.101905666154682,-30.294970467826623,103.87460677287757
1-3,20.083583716092598,-22.600674614592457,98.49979970284107
5-0,18.73184449792722,-67.33059835324369,95.03039776465383
5-1,22.095685419321878,-68.3883235842128,95.23716599273503
5-2,22.547796039456895,-66.11156327478984,98.01604449263365
5-3,19.247648469611025,-64.97546970706715,97.49797793491254
16-3,38.9674998755761,-1.1460144588918106,77.9899497131971
9-0,26.60939766579254,-64.76375451086639,101.17076015837063
16-2,41.395193619070064,0.32941021220613764,76.4144766429696
9-1,29.98257867978038,-65.94369632290172,101.62630830392254
16-1,43.56137369385625,-1.725758833217706,77.7545304409465
9-2,30.386103649626428,-63.7077933723112,104.42387418041336
35-3,9.944590143737756,-10.719462793124167,90.46661830417511
16-0,41.118787955439366,-3.1954409131294024,79.35021763612811
9-3,27.041337127903827,-62.6108007174528,103.95967558147932
23-3,15.721262608622625,5.205181663319962,76.11704527346727
23-2,18.113165792034344,6.683917111835845,74.64605659018932
23-1,20.21502036789015,4.729060521652089,75.96828333753157
23-0,17.830666054707592,3.247394481407209,77.48397322665626
27-3,-30.72258023096739,29.161467505657434,64.8556557858818
27-2,-32.88323387171908,26.48219410707206,67.26209009410572
27-1,-36.49410341419465,28.540790392253975,66.21930072324211
27-0,-34.33048521742742,31.313100323023985,63.93736270581043
34-3,4.3859510428721284,-5.129861589708851,86.63395482781337
15-0,36.13536667133534,-6.266097143429476,82.52847713092643
34-2,7.084948119805382,-7.831702551668361,88.4845579457419
11-3,20.928158329613122,-56.14121723665717,108.39085077466865
34-1,3.8436328565482105,-9.666218000627898,90.46510324021611
11-2,24.214751142769916,-57.09418330161775,108.82930939906336
0-0,-19.370434823503146,4.630163193254276,81.99226276887819
34-0,1.1913973942241607,-6.989555679239542,88.62992045381793
11-1,23.87962531404379,-59.220773554843994,106.10517886020013
0-1,-11.845593262720172,-3.1109213036024674,87.21510882955229
30-3,-11.383271579016055,26.026766903937915,64.0121063141374
11-0,20.586284365463595,-58.20938859689237,105.70930760692858
0-2,-2.736615504763152,2.121095339023529,81.74157228093273
30-2,-13.549010087010345,23.36818703472507,66.45518686995288
0-3,-10.282560625787937,9.919877447608954,76.56799861586977
30-1,-17.117792532576917,25.45918202389707,65.44143085674631
30-0,-14.921827281737723,28.13076391787908,62.98107484120466
4-0,31.769759689708298,-76.92331046144854,91.54413237689919
4-1,35.24524005589119,-78.00153222478666,91.95706543086118
19-3,34.46782911481917,3.0743879860038428,75.26351396512311
4-2,35.74203293801548,-75.519411286244,94.466825056321
19-2,36.875185619690136,4.585267076923377,73.69298930641396
4-3,32.287336563382325,-74.42305566782218,94.05939586488377
19-1,39.043293730374124,2.497497708059746,75.00232351574702
8-0,19.70162524209193,-62.586914191604954,100.39339298215127
19-0,36.59440594104249,1.0463950206012005,76.60938455306847
8-1,23.049009842673655,-63.64951528884691,100.62699029585596
15-3,33.99850162874285,-4.227893741420486,81.19117102945238
8-2,23.44097485453235,-61.4745444026361,103.25295483444418
15-2,36.40866146411215,-2.7374801342469253,79.63896307531546
8-3,20.11876911049911,-60.53808168820792,102.97687505939045
15-1,38.5574105694737,-4.787635268547881,80.95595976754757
26-0,-29.71963728697316,36.771230031925064,58.758231092691865
22-3,30.03266091372435,7.267396128572312,72.49311019089008
22-2,32.43116742565074,8.756508087971422,70.89838500305916
22-1,34.57837255503597,6.728360979956218,72.25322315046013
22-0,32.1529709321685,5.228557741474642,73.80203784076048
26-3,-26.115694501208228,34.6364872495446,59.66221687952281
26-2,-28.26653609714148,31.946302413497456,62.08848238529991
26-1,-31.894093108682384,34.14783331943868,61.22486364454283
